Consumer_Email_Key,Consumer_Email_Last_Update_Source_System_Key,Consumer_Email_Last_Opt_In_Opt_Out_Update_Source_System_Key,Consumer_Key,Consumer_Email_Type_Code_Key,Consumer_Email_Record_Valid_From_Date,Consumer_Email_Record_Valid_To_Date,Consumer_Email_Address_Name,Consumer_Email_Current_Record_Indicator,Consumer_Email_Technical_Validity_Indicator,Consumer_Email_Opt_In_Opt_Out_Indicator,Consumer_Email_Opt_In_Opt_Out_Update_Date,Consumer_Email_Source_Last_Update_Date,Consumer_Email_Ip_Location_Name,Consumer_Email_Melissa_Result_Code,Consumer_Email_Melissa_Quality_Score_Code,Consumer_Email_Melissa_Deliverability_Confidence_Score_Number,Consumer_Email_Melissa_Privacy_Indicator,Consumer_Email_Last_Click_Timestamp,Consumer_Email_Subscription_Date,Consumer_Email_Record_Created_Timestamp,Consumer_Email_Record_Modified_Timestamp
928,239,85,285468,566,2023-06-27,2023-11-04,shane15@example.org,1,1,0,2023-08-15,2022-06-27,223.177.161.161,null,Valid,810,1,2022-12-05 00:00:00.000000,2023-11-24,2022-04-10 17:46:46.069586,2022-11-21 12:45:22.402153
230,953,850,314962,404,2022-07-29,2023-03-01,wthompson@example.org,1,0,1,2021-08-11,2024-01-17,172.121.249.248,null,Valid,425,0,2022-01-12 00:00:00.000000,2021-03-10,2021-02-05 23:27:11.063159,2022-08-06 04:31:53.590063
58,907,457,320723,597,2023-10-07,2023-10-15,millerdevin@example.com,1,0,0,2023-02-03,2021-05-04,117.86.180.57,null,Invalid,198,1,2022-06-19 00:00:00.000000,2021-02-01,2021-02-02 08:01:52.687377,2024-01-12 12:51:19.605326
372,904,950,320975,353,2021-11-17,2023-07-21,tyronevaughan@example.org,0,0,1,2022-08-21,2021-02-03,190.243.236.239,null,Valid,603,0,2021-05-22 00:00:00.000000,2024-01-16,2022-03-03 19:38:16.585994,2024-01-03 19:36:57.743255
109,190,614,323577,218,2023-05-19,2023-07-31,cookamy@example.com,0,1,1,2021-09-03,2023-01-04,172.188.123.17,null,Valid,287,0,2022-07-26 00:00:00.000000,2022-03-14,2021-04-27 18:09:56.596220,2021-12-16 17:09:38.343875
755,685,43,325767,677,2022-12-26,2023-03-07,rowlandjamie@example.net,0,1,0,2022-08-17,2022-05-02,4.22.119.78,null,Valid,983,0,2022-07-23 00:00:00.000000,2022-07-10,2023-09-20 08:23:47.961395,2023-11-11 11:24:08.728634
769,326,414,334135,735,2022-07-02,2023-06-02,timothyhall@example.org,1,1,1,2022-02-20,2021-06-16,17.186.125.169,null,Valid,185,1,2023-04-14 00:00:00.000000,2021-04-24,2022-07-09 20:11:47.467416,2022-09-18 00:22:50.980583
189,829,234,343462,256,2021-05-03,2024-01-24,johnshailey@example.net,1,1,1,2022-01-18,2022-04-15,99.117.71.122,null,Valid,372,0,2021-09-11 00:00:00.000000,2023-04-03,2022-04-28 14:51:18.344093,2022-08-21 05:11:09.648400
605,919,167,376051,284,2022-08-19,2023-07-11,coxrandy@example.org,0,1,1,2023-12-09,2022-12-30,50.158.238.24,null,Valid,817,0,2021-08-07 00:00:00.000000,2023-01-03,2023-06-04 16:58:21.121711,2023-09-10 14:27:23.107394
767,972,695,389073,594,2023-09-10,2023-11-10,brownkatherine@example.org,0,1,0,2023-05-09,2022-06-06,190.181.91.10,null,Valid,915,0,2021-07-12 00:00:00.000000,2022-02-01,2023-05-12 08:22:51.909897,2023-08-21 07:26:27.453406
947,216,636,393783,975,2023-09-16,2023-10-01,treyes@example.com,1,0,0,2023-10-01,2022-11-24,143.209.207.52,null,Valid,346,0,2023-04-27 00:00:00.000000,2021-10-10,2021-05-16 01:02:31.044358,2023-05-19 10:40:21.779448
459,779,873,425033,115,2022-05-29,2023-05-16,john41@example.com,0,1,0,2023-09-24,2023-04-30,155.62.173.66,null,Valid,292,1,2022-03-11 00:00:00.000000,2023-09-19,2023-01-05 16:37:14.083383,2023-05-15 09:02:50.962839
446,573,461,439650,914,2023-09-24,2023-11-05,barnettemily@example.net,1,0,1,2023-12-30,2022-09-17,221.237.223.153,null,Valid,142,1,2022-09-01 00:00:00.000000,2023-03-10,2022-12-04 19:37:54.782277,2023-04-03 01:15:28.384766
402,888,2,442930,935,2022-08-29,2023-02-14,joshua89@example.org,0,1,0,2024-01-17,2022-01-19,191.188.43.80,null,Valid,185,1,2021-11-26 00:00:00.000000,2022-02-04,2021-03-11 01:31:17.223885,2023-05-15 05:47:34.095825
128,124,682,462074,324,2022-06-04,2022-07-20,tkaiser@example.org,0,0,1,2023-07-27,2023-10-11,164.97.106.165,null,Valid,983,1,2022-03-12 00:00:00.000000,2023-12-24,2022-05-13 01:06:53.618315,2023-02-18 06:55:29.629452
195,470,249,463915,106,2021-12-13,2023-07-06,reeveskevin@example.com,0,0,1,2021-07-17,2022-10-10,19.0.86.81,null,Valid,795,0,2021-05-31 00:00:00.000000,2022-02-13,2023-07-20 21:26:31.594189,2023-08-17 01:33:55.328378
972,794,942,468553,516,2023-06-03,2023-12-17,pbentley@example.net,0,0,1,2021-05-20,2022-07-18,111.205.134.32,null,Invalid,622,0,2022-08-12 00:00:00.000000,2023-05-04,2023-01-15 16:06:44.309777,2023-08-10 19:13:16.292037
357,945,241,540059,53,2021-09-10,2022-07-18,william89@example.net,0,1,0,2021-12-24,2021-11-14,203.65.238.93,null,Valid,911,1,2022-11-20 00:00:00.000000,2023-04-08,2022-08-27 15:27:28.997792,2023-09-07 21:56:48.665648
17,972,695,540436,26,2023-02-10,2023-05-19,acevedoanthony@example.org,0,0,0,2023-12-06,2022-04-10,31.138.223.56,null,Valid,906,1,2023-06-01 00:00:00.000000,2023-01-21,2023-01-18 07:08:38.710411,2024-01-17 12:50:03.010033
847,686,379,550584,257,2021-07-05,2022-01-27,newtondavid@example.org,0,1,0,2022-06-22,2021-02-20,3.38.97.195,null,Valid,751,0,2022-09-08 00:00:00.000000,2023-06-02,2021-10-04 20:16:19.692351,2023-04-30 17:10:16.863872
498,738,867,570161,294,2022-11-03,2023-05-20,elizabeth94@example.net,1,0,1,2023-11-16,2021-09-26,222.151.213.70,null,Invalid,186,0,2021-10-03 00:00:00.000000,2021-07-30,2022-06-07 09:06:12.070618,2022-09-15 19:50:45.649294
742,818,959,581470,614,2021-11-04,2022-10-27,mary78@example.org,1,0,0,2023-06-14,2023-03-22,28.211.111.216,null,Valid,105,1,2023-12-21 00:00:00.000000,2023-10-28,2022-06-11 23:23:25.294806,2023-12-17 02:36:09.393756
284,257,495,585220,654,2023-10-30,2023-11-26,rharris@example.org,1,1,0,2022-05-31,2021-04-04,48.98.190.169,null,Valid,251,0,2023-11-12 00:00:00.000000,2021-11-27,2022-09-02 22:07:55.859315,2022-09-30 06:53:40.120618
632,902,960,596803,124,2023-12-08,2024-01-15,denise76@example.net,1,0,0,2022-03-20,2022-04-13,3.215.96.195,null,Valid,16,0,2022-03-04 00:00:00.000000,2022-01-10,2023-03-25 20:03:48.832902,2024-01-23 14:57:28.266037
981,870,58,596943,523,2021-06-22,2021-07-15,danaadams@example.org,1,1,1,2023-11-25,2021-02-13,45.24.119.100,null,Valid,697,1,2023-05-11 00:00:00.000000,2021-05-21,2021-04-26 05:14:35.414052,2022-04-17 20:19:22.598452
544,139,106,612864,92,2023-06-03,2024-01-08,aashley@example.net,0,0,0,2023-09-14,2022-01-28,133.83.150.215,null,Valid,778,1,2023-10-15 00:00:00.000000,2021-03-07,2022-04-28 00:39:51.767529,2023-01-12 02:39:12.922452
533,310,254,613089,326,2022-12-28,2023-09-08,michaellamb@example.net,1,1,0,2023-04-04,2021-04-11,76.47.71.64,null,Valid,519,1,2021-07-09 00:00:00.000000,2021-02-02,2023-12-20 18:19:43.455646,2024-01-17 21:17:31.328274
360,145,442,616319,54,2022-04-13,2023-09-19,smithjoanna@example.net,1,1,1,2024-01-08,2021-01-30,212.75.229.148,null,Valid,833,1,2022-07-22 00:00:00.000000,2021-09-04,2023-11-06 13:42:01.237700,2023-12-02 00:35:21.692807
895,885,912,623007,658,2023-07-29,2023-11-24,jonathancollins@example.org,1,1,0,2023-08-27,2021-03-24,97.160.232.97,null,Valid,367,0,2022-01-28 00:00:00.000000,2023-06-03,2021-05-08 16:53:01.779838,2021-09-15 08:54:10.146291
860,199,709,630776,383,2023-09-10,2023-12-25,robert75@example.com,0,1,1,2023-05-05,2021-04-21,207.136.142.168,null,Valid,316,0,2023-02-10 00:00:00.000000,2023-12-16,2021-05-08 08:16:07.531360,2021-09-16 16:07:36.019815
467,485,356,650568,573,2022-05-29,2022-07-17,tammy44@example.org,0,0,0,2021-08-27,2023-01-24,78.181.13.120,null,Valid,433,1,2022-04-27 00:00:00.000000,2023-01-24,2021-12-19 12:09:30.235962,2024-01-17 00:42:45.965800
907,641,939,670520,416,2022-05-12,2022-12-18,sosadeanna@example.net,0,0,0,2023-01-21,2021-12-14,124.131.135.162,null,Valid,949,1,2021-06-04 00:00:00.000000,2023-08-15,2023-03-12 18:46:55.972986,2023-11-27 02:16:00.889644
786,928,17,673617,614,2021-10-23,2023-09-18,martineznancy@example.com,0,1,1,2021-11-22,2022-04-20,144.171.60.102,null,Valid,519,0,2022-12-08 00:00:00.000000,2022-08-12,2023-01-29 01:41:34.323201,2023-10-26 18:02:18.618261
251,955,343,674348,976,2024-01-07,2024-01-07,wilkersonangela@example.org,1,1,1,2023-06-27,2021-09-19,126.170.78.182,null,Valid,637,1,2021-06-30 00:00:00.000000,2021-04-08,2022-06-15 13:41:31.819454,2023-02-12 20:28:16.879262
902,255,594,674719,524,2023-05-06,2024-01-09,hmcgee@example.com,0,1,1,2021-06-30,2023-07-12,113.49.133.215,null,Valid,879,0,2022-07-28 00:00:00.000000,2023-12-08,2021-09-29 06:06:45.513585,2022-03-28 03:05:46.544464
581,308,224,684877,600,2022-03-01,2022-05-04,desireewilliams@example.net,0,1,1,2021-10-12,2023-06-27,62.210.127.245,null,Invalid,56,0,2022-07-31 00:00:00.000000,2023-03-16,2023-04-13 00:31:53.050298,2023-07-16 08:16:47.397449
182,885,631,689048,498,2023-12-10,2023-12-10,zparker@example.net,0,0,1,2021-08-02,2022-04-13,108.57.48.101,null,Valid,975,1,2023-09-26 00:00:00.000000,2022-03-10,2022-09-15 12:27:46.014766,2023-08-02 19:15:59.165401
80,640,999,689515,893,2022-02-02,2023-08-02,jessica78@example.com,1,1,0,2021-06-02,2023-02-01,27.222.200.27,null,Valid,186,0,2022-01-21 00:00:00.000000,2022-07-28,2023-09-12 02:07:16.402358,2024-01-09 03:36:56.694518
72,342,373,695110,521,2021-05-31,2022-09-25,joshua93@example.net,1,0,1,2022-08-11,2022-11-01,84.197.87.0,null,Invalid,637,1,2023-09-29 00:00:00.000000,2023-10-21,2023-05-24 12:53:46.914521,2023-12-07 14:38:23.494144
615,352,969,699155,674,2021-09-18,2022-12-19,vbyrd@example.com,0,1,0,2022-01-28,2023-10-06,18.94.195.203,null,Valid,585,1,2021-09-23 00:00:00.000000,2021-06-26,2021-03-05 03:26:50.361236,2022-06-23 05:11:20.332493
845,842,710,702248,167,2023-03-31,2023-07-05,reneegarcia@example.com,1,1,1,2022-07-19,2022-07-17,66.227.37.240,null,Invalid,539,0,2021-03-27 00:00:00.000000,2022-11-02,2021-11-20 04:45:14.298103,2022-02-16 04:25:23.499907
382,777,293,745786,68,2023-01-04,2023-05-08,turnermichael@example.org,1,1,0,2021-05-02,2023-06-12,28.221.218.198,null,Valid,465,1,2023-10-20 00:00:00.000000,2023-11-25,2023-07-12 03:26:29.478984,2023-07-31 03:32:50.394764
983,419,528,746029,666,2022-07-16,2023-05-18,teresa66@example.org,1,1,0,2023-02-14,2023-04-05,60.249.154.235,null,Valid,933,0,2021-09-08 00:00:00.000000,2023-11-30,2022-05-12 02:32:20.832339,2023-11-26 10:21:17.623209
866,844,840,749797,906,2023-04-10,2024-01-20,qfreeman@example.net,0,1,1,2021-12-24,2022-11-28,80.174.78.176,null,Valid,392,0,2022-06-30 00:00:00.000000,2022-10-01,2023-02-24 13:20:26.170756,2024-01-06 00:10:57.728560
759,350,348,750442,741,2022-01-01,2022-08-04,cohenlisa@example.com,1,1,0,2022-02-19,2021-04-05,104.20.134.212,null,Valid,684,1,2022-04-04 00:00:00.000000,2022-12-06,2023-08-24 14:25:15.971215,2023-11-15 22:01:58.630948
287,913,27,764718,506,2021-11-10,2023-12-10,glee@example.net,0,0,0,2023-10-07,2022-01-20,57.52.173.98,null,Valid,840,1,2024-01-23 00:00:00.000000,2022-02-15,2021-10-07 10:50:28.288613,2022-01-24 05:52:37.837260
725,522,176,764833,650,2023-10-11,2023-10-28,gregoryandrew@example.org,0,1,1,2021-05-17,2022-12-12,144.109.184.64,null,Valid,441,0,2024-01-15 00:00:00.000000,2022-11-06,2022-10-27 05:25:43.164917,2023-10-21 09:52:22.973179
312,372,595,779151,780,2023-10-17,2023-12-20,coopernicole@example.net,0,0,1,2023-02-04,2023-08-12,96.187.177.170,null,Valid,865,0,2021-01-25 00:00:00.000000,2023-01-31,2022-02-28 23:30:08.365500,2023-09-12 14:21:05.878332
39,245,27,786018,823,2023-07-01,2023-07-02,brucearnold@example.net,0,0,0,2021-12-05,2021-11-30,177.124.12.82,null,Valid,611,0,2022-08-15 00:00:00.000000,2023-09-09,2023-06-16 08:31:43.323026,2023-07-27 09:05:13.814614
418,879,247,792208,258,2022-04-01,2023-06-11,oholmes@example.com,1,1,1,2023-01-30,2023-10-16,202.104.234.160,null,Valid,156,1,2021-04-11 00:00:00.000000,2023-03-19,2023-08-22 09:14:57.895525,2023-09-22 19:31:41.310395
455,897,846,800415,659,2021-11-01,2023-04-07,regina77@example.org,0,1,0,2022-10-03,2023-05-30,196.22.106.153,null,Valid,831,0,2023-01-18 00:00:00.000000,2022-06-27,2022-12-09 12:13:13.457571,2023-09-30 11:52:04.014959
279,534,247,817753,763,2021-10-02,2022-10-12,joann20@example.com,0,0,0,2023-08-02,2022-05-15,40.133.101.64,null,Valid,29,0,2021-07-18 00:00:00.000000,2021-10-26,2022-08-12 13:25:40.733092,2023-07-13 07:53:37.010038
376,817,691,839766,468,2022-05-28,2022-08-30,jon06@example.com,0,0,1,2023-03-09,2022-07-22,212.64.7.143,null,Valid,31,0,2023-11-28 00:00:00.000000,2022-02-10,2022-07-28 00:15:58.411119,2023-12-02 10:05:13.365661
684,847,966,846123,290,2023-08-08,2023-08-19,johnsonandre@example.com,0,1,0,2022-05-08,2022-03-31,97.34.12.209,null,Valid,551,0,2023-01-22 00:00:00.000000,2023-06-05,2021-08-08 05:15:32.723893,2022-07-09 06:40:59.725320
19,593,904,846593,203,2023-10-13,2023-11-09,perezerin@example.org,1,0,0,2021-03-01,2022-09-18,102.145.84.191,null,Invalid,294,1,2024-01-19 00:00:00.000000,2021-02-06,2021-10-18 16:06:25.395773,2023-01-01 21:49:56.587389
854,289,668,847142,560,2022-10-28,2023-01-31,qgomez@example.com,1,0,0,2023-04-07,2023-06-14,22.211.149.255,null,Valid,138,1,2021-07-28 00:00:00.000000,2021-08-13,2023-10-14 10:14:40.395220,2024-01-23 04:57:20.037746
777,960,277,847405,534,2021-04-29,2021-08-17,timothy43@example.net,1,1,0,2023-06-26,2023-08-19,131.211.147.191,null,Valid,219,1,2022-06-09 00:00:00.000000,2023-12-06,2023-02-05 17:41:55.792350,2024-01-03 19:31:34.788273
606,372,492,852644,961,2021-11-28,2022-04-13,richardmorris@example.com,1,0,1,2021-04-19,2022-02-24,14.74.190.4,null,Invalid,284,1,2022-05-03 00:00:00.000000,2022-09-05,2023-07-13 11:59:15.936368,2023-10-31 20:30:50.329556
421,999,595,852770,198,2023-01-03,2023-11-28,ecarpenter@example.net,0,1,0,2024-01-09,2022-11-21,174.184.193.13,null,Valid,467,0,2022-05-12 00:00:00.000000,2023-05-02,2021-02-02 01:25:07.915767,2024-01-08 17:55:05.320538
775,493,57,863410,512,2024-01-09,2024-01-23,kellysilva@example.org,0,0,1,2022-12-24,2021-10-28,201.112.6.207,null,Valid,668,1,2022-01-08 00:00:00.000000,2023-12-24,2022-04-01 12:14:05.089343,2022-06-30 18:45:10.535042
511,694,432,864498,780,2023-03-06,2023-08-27,hamiltonjohn@example.com,1,0,0,2023-06-02,2021-05-09,75.36.203.216,null,Valid,191,1,2023-02-13 00:00:00.000000,2022-04-22,2021-03-31 21:02:15.247901,2023-07-04 02:58:26.739524
592,519,930,877436,567,2022-11-16,2023-10-29,richardphillips@example.net,1,0,0,2022-03-04,2023-12-28,104.74.33.242,null,Valid,408,0,2022-12-02 00:00:00.000000,2023-08-31,2021-10-22 03:58:56.352593,2022-09-27 16:59:17.259065
745,51,889,882197,361,2022-05-11,2022-07-07,llane@example.org,1,1,0,2021-06-04,2023-01-15,215.102.135.180,null,Valid,765,1,2023-11-18 00:00:00.000000,2021-11-03,2021-06-09 19:27:58.686108,2023-11-10 19:35:14.815853
727,605,947,891813,266,2022-07-26,2023-01-19,matthewbrown@example.net,0,0,1,2022-05-16,2022-08-28,219.182.251.209,null,Valid,854,1,2023-10-02 00:00:00.000000,2022-10-13,2023-08-09 05:32:07.089644,2023-10-21 03:50:31.713891
919,290,163,893301,783,2021-03-04,2021-10-21,hsoto@example.com,0,0,0,2022-01-26,2023-06-02,79.88.206.104,null,Valid,901,1,2021-04-01 00:00:00.000000,2021-05-20,2021-11-29 08:19:57.619847,2022-12-22 14:53:05.605946
