Consumer_Key,Consumer_Created_Source_System_Key,Consumer_Last_Update_Source_System_Key,Consumer_Web_Push_Opt_In_Opt_Out_Source_System_Key,Consumer_Privacy_Policy_Consent_Source_Key,Consumer_Class_Code_Key,CFDM_Channel_Code_Key,Consumer_Gender_Code_Key,Region_Code_Key,Affiliate_Code_Key,Market_Code_Key,Division_Code_Key,Consumer_Global_Unique_Identifier,Consumer_Level_Code,Consumer_Valid_Record_Indicator,Consumer_Version_Number,Consumer_Offline_Identifier,Consumer_POS_Identifier,Consumer_Online_Identifier,Consumer_Salutation_Code,Consumer_First_Name,Consumer_Middle_Name,Consumer_Last_Name,Consumer_Language_Code,Consumer_Birth_Day_Number,Consumer_Birth_Month_Number,Consumer_Birth_Year_Number,Consumer_Loyalty_Opt_In_Opt_Out_Indicator,Consumer_Web_Push_Opt_In_Opt_Out_Indicator,Consumer_Anonymization_Indicator,Consumer_Pending_Braze_Archival_Indicator,Consumer_Pending_Braze_Archival_Date,Consumer_Web_Push_Opt_In_Opt_Out_Update_Date,Consumer_Online_Registration_Date,Consumer_Online_Registration_Status_Code,Consumer_Offline_Registration_Date,Consumer_Registration_Store_Identifier,Consumer_Archived_In_Braze_Indicator,Consumer_Profile_Update_Indicator,Consumer_Profile_Last_Update_Date,Consumer_Privacy_Policy_Consent_Date,Consumer_Privacy_Policy_Reconsent_Date,Consumer_Anonymization_Timestamp,Consumer_Record_Created_Timestamp,Consumer_Record_Modified_Timestamp
79470,2,2,2,131,777,10,2,10,809587,1,1,a12ec9db-31c2-40e0-bbc6-d42b6d114cdb,global,0,3,c5d30c45-1095-403f-b705-18142f235a8c,41f88e8e-68c2-49e5-9f1a-bc0b7c46d5ac,e63fff42-6501-4097-9450-bfa0e54afbc9,f16a82c563e9519b16780c5d1c265474,Pamela,Annette,Moore,EN,19,12,1986,1,1,0,1,2022-12-01,2023-08-28,2023-03-28,registered,,,1,1,2023-07-23,2023-08-04,2022-04-09,2023-01-10T08:51:21.407Z,2023-01-10T08:51:21.407Z,2024-01-22T18:15:29.739Z
81071,40,40,40,518,973,7,2,10,317140,1,21,a367505f-017a-48de-9850-c1c1f75d172a,global,1,8,1b12d8d7-4c25-486f-b184-005ed534c7e9,16ac2537-9914-4143-994a-5eba0e48d473,f34334b3-dacc-49a0-bdaa-0bf6af7e0803,20e4262954ca410b6058e13e55549ee0,Jennifer,Kayla,Harris,EN,2,4,1979,1,0,1,0,2023-05-26,2023-07-15,,,,,0,1,2022-05-06,2022-09-16,2022-04-15,2023-04-14T23:54:40.508Z,2023-04-14T23:54:40.508Z,2023-12-12T16:45:24.667Z
101757,6,6,6,868,928,6,2,10,989387,1,12,06820228-9ee1-443f-b049-abe001ca1887,global,0,2,6c3a546d-6e24-4adf-b577-a08fae670564,731dcb58-af96-40e2-8d1a-ca70cdf0ed74,c36647f7-94b5-4109-adab-01d1e1b1c315,5415e6486d6fd403f435ecb77153c8c5,Daniel,Matthew,Hunt,EN,8,12,1994,1,1,1,1,2022-03-15,2022-09-18,,,2022-05-14,ed2f7da7-0f12-4c9d-8d3a-9def07f69855,1,0,2023-07-10,2022-04-25,2022-06-16,2023-09-08T23:03:12.081Z,2023-09-08T23:03:12.081Z,2023-09-12T06:14:11.810Z
103119,37,37,37,9,631,7,2,10,212090,1,26,0d4767d6-3f35-4460-80de-56eaaa84a0d7,global,0,6,a0f798d2-6227-4127-a7f3-cc4687dc38e8,fefca451-c93b-4935-875e-24cfb9032daa,944d88b2-7068-458d-9a6a-dfff88f743ae,28ef6abcb1041ae53291bd9ad3b89555,Victoria,Emily,Ramos,EN,4,2,1951,0,0,1,0,2021-06-17,2023-01-17,2022-11-07,registered,,,1,0,2021-03-10,,2022-11-23,2022-05-18T23:08:55.374Z,2022-05-18T23:08:55.374Z,2022-08-20T21:53:37.128Z
109751,12,12,12,16,65,4,2,10,319009,1,17,fbe24fc6-14fe-49da-86f1-950403df9f3e,global,1,11,415b5f7d-0f42-4e3b-9689-012dd0a4885d,b97d9969-c1a9-41ee-a3ff-5cad757eda55,55eb34ad-ac84-45eb-b0f0-7581c21da222,83fc41024eed2bf5f703caf600934fb2,James,Robert,Wilson,EN,22,12,1995,1,1,0,0,2021-07-19,2021-11-25,2022-12-11,registered,,,0,0,2021-05-11,2022-02-14,,2022-04-24T04:25:29.289Z,2022-04-24T04:25:29.289Z,2023-08-30T02:01:04.995Z
120461,39,39,39,615,733,6,2,10,483619,1,11,50ff84c8-389a-42ae-8696-8317765e9c32,global,0,11,28300786-e618-46cc-a35b-4f8c5d199cd6,45c54e33-5b55-4739-a226-e2cc6cea872f,45b48cda-5548-4edb-9939-cc32d71064d6,d79b155d0d98511bd13d67fd0eab1cdb,Mr.,Michael,Kevin,EN,12,3,1983,0,1,1,1,2023-02-22,2023-08-25,2022-08-30,registered,,,1,1,2022-02-27,,,2023-11-20T04:52:03.840Z,2023-11-20T04:52:03.840Z,2023-12-15T02:59:24.766Z
127543,6,6,6,256,278,4,2,10,123148,1,26,3867c543-ecec-4a08-bf61-d12598cacd89,global,0,12,f44aa5c2-d969-40af-a597-6c2a573de033,531d1244-0bf8-47f5-b164-9d0bec0ef27a,de9dd0a1-9f30-41f5-b6c5-23a12dd06d3b,1c7840955e2070915a09cc5bb55c618d,Amanda,Cindy,Phillips,EN,6,3,1957,0,0,0,0,2022-02-19,2021-10-04,2021-10-12,registered,,,0,0,2022-04-10,2021-07-23,2023-10-03,2023-03-15T10:54:15.381Z,2023-03-15T10:54:15.381Z,2023-12-07T16:58:48.373Z
131637,32,32,32,909,294,2,1,10,772218,1,10,f648f003-6ba2-42e0-a53b-6ed1ac7b33dc,global,0,11,ca40ee6d-bd29-43f5-8313-50cdb344604f,ac7fc15e-58e2-4fb7-8ba8-0eee580b35f3,d6660b39-5bec-400b-b145-6337ebe9b9e3,cb32656b420489742ac7abcb0c89946b,Angela,Brandy,Watkins,EN,26,9,1963,0,1,1,1,2022-10-22,2023-06-19,,,2022-05-08,6f9a0ba3-1ffe-454e-ba53-22c82142e5aa,1,0,2022-04-29,,2024-01-18,2022-05-11T08:44:40.155Z,2022-05-11T08:44:40.155Z,2024-01-09T08:12:42.546Z
133033,32,32,32,430,772,4,2,10,180857,1,12,0b80f32f-3d42-492c-bb71-c6363b8ba18c,global,1,10,561ab386-36ee-49f0-907b-0b38a8ed137b,0a82f743-8af7-4a67-88e7-8fddf2182b59,0a67d001-4835-4b48-8195-a42361cf29e3,0fd68e2605408d36665ea8f08fa142f7,Mercedes,Rachel,Butler,EN,8,5,1986,0,1,0,0,2021-05-25,2023-07-22,2021-05-04,registered,,,1,0,2023-09-03,,,2021-12-20T04:27:18.823Z,2021-12-20T04:27:18.823Z,2022-05-16T00:25:00.815Z
139259,35,35,35,766,326,8,2,10,493745,1,26,49d14508-4059-435a-a47f-20a6c20124be,global,1,2,9e23359b-8706-4f0b-969b-c22620f4f2b9,1497ab94-32ad-4c1e-8d72-ebc0b1bef5ad,8046737d-4563-452b-baea-0de504520d13,358b199c89131c360ecd5bbe08370d2b,Pamela,Raven,Howell,EN,9,11,1958,0,1,0,1,2021-09-30,2021-08-28,2022-08-07,registered,,,0,0,2021-11-25,2021-07-04,,2023-09-16T01:08:57.613Z,2023-09-16T01:08:57.613Z,2023-12-23T01:02:03.360Z
154542,43,43,43,750,359,6,2,10,400391,1,22,1ba5af48-b641-47e9-b639-17b5614ad9be,global,1,11,15b7a663-e7ba-4ba9-86bd-f0967f63235b,711d6f2a-9905-47ce-bb20-d743e4f434d0,b34249de-a232-4cc0-afac-b5035d5d2f05,2290c8f40e365f7df1a9c0203d22f87c,Carlos,Randall,King,EN,17,2,1986,1,0,1,1,2022-08-23,2022-05-31,,,,,1,0,2022-01-20,2022-03-12,2021-06-30,2021-08-28T12:28:09.818Z,2021-08-28T12:28:09.818Z,2023-01-24T23:42:30.505Z
158770,12,12,12,153,970,1,2,10,198317,1,3,d4c1a20f-d3d6-4d5c-86f2-7d9438338ba8,global,1,9,818d326f-46ff-4967-85fc-2a971884e55c,15b51973-f4fa-4f10-9fe8-8018efeca0ed,f37bea5a-c3cf-4dd1-a269-98727838b1b4,bd56c6d8c21fca584d0ef77c610c59cf,Ashley,Sarah,Cole,EN,7,7,1962,0,1,0,1,2022-04-23,2023-11-20,,,,,1,1,2023-04-02,,2021-03-28,2023-10-08T00:51:48.171Z,2023-10-08T00:51:48.171Z,2023-12-24T13:54:49.079Z
170288,37,37,37,78,268,1,2,10,993456,1,11,1153c9fa-80df-4480-a261-56faf6b09607,global,1,11,e900e7d3-c46a-4dd2-aadc-fbb158f826fc,d54e9cdb-cfe0-430f-86b8-972e2a9f1ff5,28886e27-ad63-446e-8626-1f2cfb87f63c,bef3148b7903f68a1c9fe287aee6133e,Stefanie,Alicia,Ellis,EN,12,3,1989,0,1,0,0,2021-08-11,2022-03-24,2021-05-09,registered,,,0,1,2021-11-30,2023-03-02,,2023-01-25T00:37:11.101Z,2023-01-25T00:37:11.101Z,2023-03-04T11:47:50.096Z
173327,34,34,34,154,256,3,1,10,933331,1,22,f1496dfe-a152-4541-a9ba-b0360eb7ab4b,global,1,10,8365dc3a-9ad5-4c2d-af3b-eeb7e4bbfb53,9fa7068f-f563-4a06-9e59-d6874c8845fb,93a2e564-039e-450d-82a0-647ca07c562a,0a1a6febc1b3a17581fa8618971f6aea,Peter,Scott,Newton,EN,8,11,2002,1,1,1,0,2021-05-19,2022-12-21,2022-09-04,pending,,,0,1,2023-08-08,,2021-02-26,2022-11-29T06:21:00.273Z,2022-11-29T06:21:00.273Z,2023-01-07T15:49:31.983Z
185736,21,21,21,451,822,7,1,10,832825,1,26,48fb1430-3854-43fe-b86c-eac41d21c1b4,global,1,3,b245933d-5b9b-49dd-a6c6-47c5ed3c297d,a9da709a-e4c3-431a-9ac0-12780944dcab,4a4b03cd-16d0-41c7-a762-aa24dd7ec368,bd7316ce3fc0e0c42cab148be54e4f55,Norma,Hannah,Roy,EN,16,4,1956,1,1,0,0,2022-10-22,2023-07-19,,,2022-01-11,c86e0103-e2d6-46f7-8358-489447db8220,1,1,2022-08-21,2022-01-24,2022-10-14,2023-02-04T01:25:34.085Z,2023-02-04T01:25:34.085Z,2023-04-01T23:45:48.650Z
187981,38,38,38,981,589,7,2,10,250498,1,11,8ceadd67-665a-439f-a869-2f3fa6826340,global,0,6,8f4f6789-5e5f-446f-a23f-250d97447f03,22a89882-0654-46f8-84d9-fa677a5d0667,dfac0970-4313-44d2-a4a9-591ca2a8a5db,b308508fd266d4b9608e7b3fb38b8571,Robert,Mitchell,White,EN,22,8,1945,0,0,1,0,2023-11-08,2021-04-21,,,2022-11-23,cb06bf8a-d4a1-4ef2-82c0-7db377396313,0,0,2024-01-08,,,2021-03-08T19:40:29.304Z,2021-03-08T19:40:29.304Z,2022-11-12T04:18:47.023Z
189773,11,11,11,381,130,8,1,10,220936,1,99,bcc2d198-cbb1-4fec-878c-83f455538fbf,global,0,12,5fba3d4b-bdad-4595-b086-f60a67f60a2a,72b0917b-6f60-46e8-8c63-33e8c6ef50c6,79b7a02d-49e5-469f-b40b-2d960e20d398,54e9a1f8e832b060a3ece6dd23d13329,Charles,James,Brown,EN,20,2,1959,0,0,0,0,2023-08-09,2024-01-11,,,2023-09-13,25a9e64d-ebbe-4775-a45d-67ad386aab40,0,0,2023-05-25,,2023-11-04,2023-05-18T03:53:38.980Z,2023-05-18T03:53:38.980Z,2023-08-25T04:32:00.136Z
196380,42,42,42,331,937,2,2,10,736224,1,26,d09c91c1-be72-4277-9ded-82b3588cb421,global,0,7,ac0a981f-1903-48f0-93a4-b72d0c1854e7,43c68fd3-1d3e-40b9-9741-1a4fb915e619,95d14342-0746-481f-84ca-fbb68a3ffd9f,90f5eebc047adc1cfd88c59993f94e8d,Melissa,Linda,Armstrong,EN,28,7,1976,0,0,0,1,2021-03-06,2021-09-21,2023-04-19,registered,,,1,0,2021-07-06,2022-05-29,,2023-01-09T14:28:07.563Z,2023-01-09T14:28:07.563Z,2023-01-29T03:52:20.829Z
210176,28,28,28,317,529,10,1,10,625362,1,38,a30e244e-103e-4e9d-9213-59cec7d909e8,global,1,5,1ff96915-7a14-46ba-bee7-9cd233fd7a36,d1bb4062-4cd5-47a3-bb43-f366516be1ae,f82e25ae-67fa-448b-840e-4ab802b3f0b9,4997f4db2b75388ac1c876cb23a63e89,Olivia,Andrea,Long,EN,12,11,1998,1,0,1,0,2022-08-28,2022-11-15,2022-03-18,registered,,,1,0,2023-09-03,2022-01-25,,2023-08-21T20:23:37.342Z,2023-08-21T20:23:37.342Z,2023-11-23T17:32:55.262Z
214112,47,47,47,421,830,5,1,10,487423,1,36,cd8cdc7b-d1a3-482f-8025-7f676c5ec04d,global,0,5,2331e5f9-8c21-4ecc-9c5e-a574b19254e0,996a0bb3-1490-4385-a29a-d930d6189427,77bb14aa-7e4e-45f9-864d-34fc1e5a61bf,6380150987f928a29daa435e2a21bc32,Herbert,Nicholas,Leonard,EN,28,3,1964,0,0,0,1,2023-01-22,2021-11-28,,,,,1,1,2022-01-02,,2023-10-19,2022-05-12T00:33:40.262Z,2022-05-12T00:33:40.262Z,2023-09-23T11:16:36.904Z
219917,15,15,15,736,849,8,2,10,377359,1,11,8d798e86-47ee-4e7d-ab08-c10e674b06a2,global,0,6,e7cf1052-b93a-4ff1-a2da-0830ddbf8de0,c7654ef9-948f-4dfb-8ef4-e4f094c7e2d5,aa3e43ac-b8c9-4502-8eda-bd1bef2e6dd2,8e19f1bf8cf0fdc3a67f11379d005b9c,Jennifer,Sarah,Brandt,EN,27,9,1955,1,1,1,1,2022-01-08,2023-04-13,2021-10-29,registered,,,0,1,2023-01-13,,,2021-05-17T16:40:05.390Z,2021-05-17T16:40:05.390Z,2022-10-16T11:31:05.242Z
221983,15,15,15,673,580,6,2,10,164149,1,1,e8e0f7a0-c535-41c1-af49-6500eaf901f3,global,0,3,dca45a50-6eca-4cef-b915-8e6aad3d4658,e1a6a158-b565-467c-8a88-39b8d0c674a1,e3b8659d-a246-47c6-90a3-ea8f676ff7c2,c4d6bc7c220373fc20409623c0f9eeef,Rachel,Karen,Lee,EN,1,3,2001,1,1,0,0,2023-10-25,2022-06-05,2022-05-12,registered,,,0,0,2022-01-21,,,2023-07-23T18:54:20.720Z,2023-07-23T18:54:20.720Z,2023-09-10T03:41:15.381Z
224727,7,7,7,157,300,3,1,10,429243,1,22,9439daac-f416-4446-85ee-e729c3ecfd48,global,1,1,2fd9ef58-6838-40f9-bfd8-3248056b725c,cd7f5d58-a907-4c10-90eb-bab0e6d47307,a85f32fa-d2fb-40c9-957f-ec34a8d3ed45,5ab64ed60874da423913dfe5da6f8c05,Gabrielle,Tanya,Ross,EN,24,6,1982,1,1,0,1,2023-02-11,2021-06-19,2021-09-25,pending,,,0,0,2023-12-27,,2022-08-16,2023-03-31T22:41:04.182Z,2023-03-31T22:41:04.182Z,2023-12-03T19:23:59.417Z
235732,3,3,3,901,638,3,2,10,511897,1,11,9bd480ba-9ca6-41fa-9b3b-1c2d4f99b4fa,global,1,9,208b518c-57e2-411e-b4e8-3703d248e66c,00a4d8fc-e256-40cd-aa96-38fa2fe13ccd,a369c8f4-20e4-4a66-9b4c-593ccff0311b,0a8814ea5ac45860778da3281860113c,Kelly,Holly,Robertson,EN,12,7,1996,1,0,1,0,2022-10-15,2021-06-16,2023-10-08,pending,,,0,0,2021-10-18,,,2021-03-24T17:05:07.486Z,2021-03-24T17:05:07.486Z,2023-06-21T03:31:12.926Z
252364,16,16,16,456,533,10,2,10,196872,1,17,359d8a66-b0ef-4f5c-b486-498d58f2dcf4,global,1,3,90d36c2b-4e4a-4c26-97e9-c901dcd74bf6,1c2e6c60-098f-4866-a3da-445e755a137a,0954cb4f-9201-4d8b-a3bd-b2a071890189,f932526e96d3ea2d2fa644ca0d5a2c31,Luis,Stephen,Wilson,EN,28,9,1981,1,0,0,1,2023-07-12,2022-10-16,,,,,1,1,2023-05-30,,,2021-12-11T23:53:13.586Z,2021-12-11T23:53:13.586Z,2023-12-21T18:05:32.000Z
262515,8,8,8,134,564,10,1,10,451042,1,3,4243fda1-b6c0-475a-a865-79adae508890,global,1,6,f429f997-a629-41e3-b3d8-28968dbc723c,9737c341-c1dc-4aa3-956f-df4f7e8c287f,bb1834e6-b7ad-4887-b75c-8e12bdc7dc84,a53f5b31c8ff5842797613d37316c80f,Kevin,Alexander,Parker,EN,7,3,1972,0,0,1,1,2023-09-21,2022-09-14,2021-02-14,registered,,,1,0,2022-10-27,,2021-08-20,2023-03-13T12:57:11.300Z,2023-03-13T12:57:11.300Z,2023-09-17T07:09:27.307Z
285114,7,7,7,416,390,2,1,10,961340,1,1,45c21274-8b05-4936-a665-00d1b378ce58,global,0,6,7de848e6-9fc1-474a-9e83-b1f678df1f2f,9556a33c-375f-4ff2-b630-e826b942f468,c0aacc36-3d8d-46c0-9820-6d0ec1bb2d48,35da1a43ef179b04132b64b746a66148,Ryan,Anthony,Wilcox,EN,4,2,1980,1,1,0,0,2023-02-04,2022-11-09,,,,,0,1,2022-05-23,,2024-01-11,2023-12-09T05:06:13.539Z,2023-12-09T05:06:13.539Z,2024-01-08T12:23:42.197Z
285468,15,15,15,530,422,9,1,10,613074,1,3,25401de0-57c7-45af-b87f-f96283a5ed94,global,1,7,5bc7a08a-67bb-4354-b150-5b976e44fdca,881f5108-1eb5-40bc-ad71-7837312bf8b1,1a809c2d-2874-4077-bb95-b53e9c8442dd,3ec5fa32006b3f6c2bab58d36b23f732,Philip,Michael,Alvarado,EN,22,3,1978,1,1,0,0,2023-05-26,2023-12-08,,,,,0,1,2021-03-27,2022-06-19,,2023-10-01T07:54:02.041Z,2023-10-01T07:54:02.041Z,2024-01-13T00:26:25.966Z
314962,3,3,3,439,988,6,2,10,669051,1,26,aaea367f-ceac-4430-9626-797a79581665,global,0,9,dc7174f3-e607-49b1-953c-1996339f7215,118d6062-40c3-46ad-ab99-33c75d6f2cd5,5538ac69-3365-4e2d-9b8c-a50f91aa67e8,5ba4521149d9a053e232378c9bc94d3b,Paula,Courtney,Marshall,EN,20,7,1945,1,1,0,1,2021-02-13,2023-11-22,2023-07-14,registered,,,0,0,2021-09-26,,,2023-10-03T11:35:23.123Z,2023-10-03T11:35:23.123Z,2023-12-20T11:19:03.956Z
320723,19,19,19,100,570,2,2,10,184120,1,21,77c187df-e140-41cf-b071-dbc181fb8141,global,1,6,340bb9c2-5eff-46e4-96e8-4fce00d55729,a0e5300e-99d6-455e-a0cd-e85d91d1bae9,836b7ebf-c51f-4e52-92f5-03c33eaee44b,7d335b8e0ac3b54e2cc0cea6730e48f0,Melissa,Emily,Newton,EN,26,6,1982,0,1,0,1,2022-08-03,2023-05-13,2021-02-15,registered,,,0,0,2023-02-15,,,2022-06-23T20:39:11.123Z,2022-06-23T20:39:11.123Z,2022-09-10T19:10:10.481Z
320975,40,40,40,759,931,6,1,10,398150,1,21,d0f8105f-7642-4a55-80e1-c8099755c2e6,global,0,9,bbde2c49-5487-4b92-a68f-0df78d65dea6,53d6a648-ce65-4d62-888b-08fb99eb82b1,940e9d81-8f77-4b16-9c58-df25e389cd48,e2c0625286481c22a5cef083ebaf2294,Nicole,Kimberly,Walls,ES,25,5,1974,1,0,0,0,2021-09-17,2023-04-12,,,2021-06-11,31583a3b-fd2a-4b35-a0f7-8cb578c03a42,1,1,2024-01-10,,,2022-09-12T03:14:56.216Z,2022-09-12T03:14:56.216Z,2023-03-01T10:18:44.339Z
323577,33,33,33,810,864,4,1,10,228181,1,99,43bdefa2-29a5-4938-ae3b-2f058cddc2dd,global,0,9,94312d6f-c49d-460c-9251-70d09c3cdd25,35e38052-9dd9-490f-a1da-65e65d281b93,1b504d4e-c1b3-49a9-be33-acea8bf93d1b,a7906d43eedc61f530090da1a43c2a45,Christina,Jacqueline,Hill,EN,17,5,1952,1,0,1,1,2023-12-16,2023-06-16,,,,,1,1,2023-09-29,2021-02-20,,2022-11-15T23:51:44.114Z,2022-11-15T23:51:44.114Z,2023-05-09T17:38:30.772Z
